These results were obtained with 100 generations of 200 individuals and 0.1 mutation

Generation 36 Bot 180, score = 5560
Generation 36 Bot 190, score = 9453
Generation 37 Bot 0, score = 8715
Generation 37 Bot 10, score = 14196
Generation 37 Bot 20, score = 7340
Generation 37 Bot 30, score = 9970
Generation 37 Bot 40, score = 6770
Generation 37 Bot 50, score = 12820
Generation 37 Bot 60, score = 3916
Generation 37 Bot 70, score = 27361
Generation 37 Bot 80, score = 11275
Generation 37 Bot 90, score = 19306
Generation 37 Bot 100, score = 19015
Generation 37 Bot 110, score = 10396
Generation 37 Bot 120, score = 8746
Generation 37 Bot 130, score = 26765
Generation 37 Bot 140, score = 23853
Generation 37 Bot 150, score = 7503
Generation 37 Bot 160, score = 4660
Generation 37 Bot 170, score = 11676
Generation 37 Bot 180, score = 13566
Generation 37 Bot 190, score = 9791
Generation 38 Bot 0, score = 21006
Generation 38 Bot 10, score = 17591
Generation 38 Bot 20, score = 5150
Generation 38 Bot 30, score = 3003
Generation 38 Bot 40, score = 11325
Generation 38 Bot 50, score = 11575
Generation 38 Bot 60, score = 6086
Generation 38 Bot 70, score = 18928
Generation 38 Bot 80, score = 5995
Generation 38 Bot 90, score = 8585
